原材料名,個,大さじ,小さじ,カップ,合,升,切れ,片,丁,本,束,枚,尾,杯
味付け海苔,,,,,,,,,,,,,,
あらめ,,,,,,,,,,,,,,
岩海苔,,,,,,,,,,,,,,
海ぶどう,,,,,,,,,,,,,,
エゴノリ,,,,,,,,,,,,,,
オゴノリ,,,,,,,,,,,,,,
川海苔,,,,,,,,,,,,,,
昆布,,,,,,,,,,,,,,
刻み昆布,,,,,,,,,,,,,,
削り昆布,,,,,,,,,,,,,,
塩昆布,,,,,,,,,,,,,,
水前寺のり,,,,,,,,,,,,,,
てんぐさ,,,,,,,,,,,,,,
ところてん,,,,,,,,,,,,,,
角寒天,,,,,,,,,,,,,,
寒天,,,,,,,,,,,,,,
粉寒天,,,,,,,,,,,,,,
とさかのり,,,,,,,,,,,,,,
ひじき,,,,,,,,,,,,,,
ヒトエグサ,,,,,,,,,,,,,,
布海苔,,,,,,,,,,,,,,
まつも,,,,,,,,,,,,,,
むかでのり,,,,,,,,,,,,,,
もずく,,,,,,,,,,,,,,
わかめ,,,,,,,,,,,,,,
茎わかめ,,,,,,,,,,,,,,
めかぶ,,,,,,,,,,,,,,
アイナメ,,,,,,,,,,,,,,
アコウダイ,,,,,,,,,,,,,,
マアジ,,,,,,,,,,,,,150,
マルアジ,,,,,,,,,,,,,,
ニシマアジ,,,,,,,,,,,,,,
ムロアジ,,,,,,,,,,,,,,
くさや,,,,,,,,,,,,,,
アナゴ,,,,,,,,,,,,,,
アマダイ,,,,,,,,,,,,,,
アユ,,,,,,,,,,,,,,
アカウオ,,,,,,,,,,,,,,
アンコウ,,,,,,,,,,,,,,
あん肝,,,,,,,,,,,,,,
イカナゴ,,,,,,,,,,,,,,
イサキ,,,,,,,,,,,,,,
イシダイ,,,,,,,,,,,,,,
イトヨリダイ,,,,,,,,,,,,,,
イボダイ,,,,,,,,,,,,,,
ウルメイワシ,,,,,,,,,,,,,,
カタクチイワシ,,,,,,,,,,,,,,
マイワシ,,,,,,,,,,,,,100,
メザシ,,,,,,,,,,,,,,
しらす,,,,,,,,,,,,,,
タタミイワシ,,,,,,,,,,,,,,
アンチョビ,,,,,,,,,,,,,,
イワナ,,,,,,,,,,,,,,
ウグイ,,,,,,,,,,,,,,
ウナギ,,,,,,,,,,,,,,
うなぎ(肝),,,,,,,,,,,,,,
ウマヅラハギ,,,,,,,,,,,,,,
エイ,,,,,,,,,,,,,,
エソ,,,,,,,,,,,,,,
オイカワ,,,,,,,,,,,,,,
オオサガ,,,,,,,,,,,,,,
オコゼ,,,,,,,,,,,,,,
オヒョウ,,,,,,,,,,,,,,
カサゴ,,,,,,,,,,,,,,
カジカ,,,,,,,,,,,,,,
クロカジキ,,,,,,,100,,,,,,,
マカジキ,,,,,,,100,,,,,,,
メカジキ,,,,,,,100,,,,,,,
カツオ,,,,,,,,,,,,,,
ソウダガツオ,,,,,,,,,,,,,,
なまり節,,,,,,,,,,,,,,
かつお節,,,,,,,,,,,,,,
かます,,,,,,,,,,,,,,
マガレイ,,,,,,,,,,,,,,
マコガレイ,,,,,,,,,,,,,,
子持ちがガレイ,,,,,,,,,,,,,,
カワハギ,,,,,,,,,,,,,,
カンパチ,,,,,,,,,,,,,,
キス,,,,,,,,,,,,,,
キチジ,,,,,,,,,,,,,,
キビナゴ,,,,,,,,,,,,,,
キャビア,,,,,,,,,,,,,,
キングフリップ,,,,,,,,,,,,,,
ギンダラ,,,,,,,,,,,,,,
キンメダイ,,,,,,,,,,,,,,
グチ,,,,,,,,,,,,,,
コイ,,,,,,,,,,,,,,
マゴチ,,,,,,,,,,,,,,
メゴチ,,,,,,,,,,,,,,
コノシロ,,,,,,,,,,,,,,
カラフトマス,,,,,,,,,,,,,,
ギンザケ,,,,,,,,,,,,,,
サクラマス,,,,,,,,,,,,,,
鮭,,,,,,,100,,,,,,,
イクラ,,,,,,,,,,,,,,
スジコ,,,,,,,,,,,,,,
ニジマス,,,,,,,,,,,,,,
ベニザケ,,,,,,,,,,,,,,
キングサーモン,,,,,,,,,,,,,,
マサバ,,,,,,,80,,,,,,,
ゴマサバ,,,,,,,80,,,,,,,
塩サバ,,,,,,,80,,,,,,,
アブラツノザメ,,,,,,,,,,,,,,
ヨシキリザメ,,,,,,,,,,,,,,
フカヒレ,,,,,,,,,,,,,,
サヨリ,,,,,,,,,,,,,,
サワラ,,,,,,,,,,,,,,
サンマ,,,,,,,,,,,,,150,
シイラ,,,,,,,,,,,,,,
シシャモ,,,,,,,,,,,,,,
シタビラメ,,,,,,,,,,,,,,
シマアジ,,,,,,,,,,,,,,
シラウオ,,,,,,,,,,,,,,
シルバー,,,,,,,,,,,,,,
スズキ,,,,,,,,,,,,,,
タイ,,,,,,,,,,,,,,
クロダイ,,,,,,,,,,,,,,
チダイ,,,,,,,,,,,,,,
マダイ,,,,,,,,,,,,,,
タカサゴ,,,,,,,,,,,,,,
タカベ,,,,,,,,,,,,,,
タチウオ,,,,,,,,,,,,,,
スケトウダラ,,,,,,,,,,,,,,
タラコ,,,,,,,,,,,,,,
明太子,,,,,,,,,,,,,,
マダラ,,,,,,,100,,,,,,,
シラコ,,,,,,,,,,,,,,
チカ,,,,,,,,,,,,,,
ドジョウ,,,,,,,,,,,,,,
トビウオ,,,,,,,,,,,,,,
ナイルティラピア,,,,,,,,,,,,,,
ナマズ,,,,,,,,,,,,,,
ニギス,,,,,,,,,,,,,,
ニシン,,,,,,,,,,,,,,
カズノコ,,,,,,,,,,,,,,
ハゼ,,,,,,,,,,,,,,
ハタハタ,,,,,,,,,,,,,,
ハマフエフキ,,,,,,,,,,,,,,
ハモ,,,,,,,,,,,,,,
ヒラマサ,,,,,,,,,,,,,,
ヒラメ,,,,,,,,,,,,,,
トラフグ,,,,,,,,,,,,,,
マフグ,,,,,,,,,,,,,,
フナ,,,,,,,,,,,,,,
ブリ,,,,,,,,,,,,,,
ハマチ,,,,,,,,,,,,,,
ホウボウ,,,,,,,,,,,,,,
ホキ,,,,,,,,,,,,,,
ホッケ,,,,,,,,,,,,,,
ボラ,,,,,,,,,,,,,,
ホンモロコ,,,,,,,,,,,,,,
キハダ,,,,,,,,,,,,,,
クロマグロ,,,,,,,,,,,,,,
ビンチョウマグロ,,,,,,,,,,,,,,
ミナミマグロ,,,,,,,,,,,,,,
メジマグロ,,,,,,,,,,,,,,
メバチ,,,,,,,,,,,,,,
シーチキン,,,,,,,,,,,,,,
はごろも煮,,,,,,,,,,,,,,
銀ムツ,,,,,,,,,,,,,,
マナガツオ,,,,,,,,,,,,,,
ミナミクロタチ,,,,,,,,,,,,,,
ミナミダラ,,,,,,,,,,,,,,
ムツ,,,,,,,,,,,,,,
メジナ,,,,,,,,,,,,,,
メバル,,,,,,,,,,,,,,
メルルーサ,,,,,,,,,,,,,,
ヤツメウナギ,,,,,,,,,,,,,,
ヤマメ,,,,,,,,,,,,,,
ワカサギ,,,,,,,,,,,,,,
アカガイ,,,,,,,,,,,,,,
アゲマキ,,,,,,,,,,,,,,
アサリ,10,,,,,,,,,,,,,
アワビ,,,,,,,,,,,,,,
イガイ,,,,,,,,,,,,,,
イタヤガイ,,,,,,,,,,,,,,
エスカルゴ,,,,,,,,,,,,,,
牡蠣,,,,,,,,,,,,,,
サザエ,,,,,,,,,,,,,,
サルボウ,,,,,,,,,,,,,,
シジミ,,,,,,,,,,,,,,
タイラガイ,,,,,,,,,,,,,,
タニシ,,,,,,,,,,,,,,
ツブ,,,,,,,,,,,,,,
トコブシ,,,,,,,,,,,,,,
トリガイ,,,,,,,,,,,,,,
バイ,,,,,,,,,,,,,,
バカガイ,,,,,,,,,,,,,,
ハマグリ,30,,,,,,,,,,,,,
ホタテ,35,,,,,,,,,,,,,
ホッキガイ,,,,,,,,,,,,,,
ミルガイ,,,,,,,,,,,,,,
甘海老,,,,,,,,,,,,,,
伊勢海老,,,,,,,,,,,,,,
車海老,,,,,,,,,,,,,,
桜海老,,,,,,,,,,,,,,
大正海老,,,,,,,,,,,,,,
芝海老,,,,,,,,,,,,,,
バナメイエビ,,,,,,,,,,,,,45,
ブラックタイガー,,,,,,,,,,,,,45,
干しエビ,,,,,,,,,,,,,,
ガザミ,,,,,,,,,,,,,,
毛ガニ,,,,,,,,,,,,,,
ズワイガニ,,,,,,,,,,,,,,
タラバガニ,,,,,,,,,,,,,,
アカイカ,,,,,,,,,,,,,,300
ケンサキイカ,,,,,,,,,,,,,,300
コウイカ,,,,,,,,,,,,,,300
スルメイカ,,,,,,,,,,,,,,
ホタルイカ,,,,,,,,,,,,,,
ヤリイカ,,,,,,,,,,,,,,
スルメ,,,,,,,,,,,,,,
サキイカ,,,,,,,,,,,,,,
塩辛,,,,,,,,,,,,,,
イイダコ,,,,,,,,,,,,,,
マダコ,,,,,,,,,,,,,,
あみ,,,,,,,,,,,,,,
うに,,,,,,,,,,,,,,
オキアミ,,,,,,,,,,,,,,
クラゲ,,,,,,,,,,,,,,
シャコ,,,,,,,,,,,,,,
ナマコ,,,,,,,,,,,,,,
コノワタ,,,,,,,,,,,,,,
ホヤ,,,,,,,,,,,,,,
カニカマ,,,,,,,,,,,,,,
かまぼこ,,,,,,,,,,,,,,
竹輪,,,,,,,,,,,,,,
ツミレ,,,,,,,,,,,,,,
ナルト,,,,,,,,,,,,,,
ハンペン,,,,,,,,,,,,,,
さつま揚げ,,,,,,,,,,,,,,
魚肉ハム,,,,,,,,,,,,,,
魚肉ソーセージ,,,,,,,,,,,,,,
イノシシ,,,,,,,,,,,,,,
イノブタ,,,,,,,,,,,,,,
うさぎ,,,,,,,,,,,,,,
牛肩ロース,,,,,,,,,,,,,,
牛小間,,,,,,,,,,,,,,
牛肉,,,,,,,,,,,,,,
牛リブロース,,,,,,,,,,,,,,
牛サーロイン,,,,,,,,,,,,,,
牛バラ,,,,,,,,,,,,,,
牛モモ,,,,,,,,,,,,,,
牛ランプ,,,,,,,,,,,,,,
牛ヒレ,,,,,,,,,,,,,,
牛ミンチ,,,,,,,,,,,,,,
牛タン,,,,,,,,,,,,,,
牛ハツ,,,,,,,,,,,,,,
牛レバー,,,,,,,,,,,,,,
牛マメ,,,,,,,,,,,,,,
牛ミノ,,,,,,,,,,,,,,
