name,calorie,protein,lipid,carbohydrate,salt
アカイカ,89,17.9,1.4,Tr,200
ケンサキイカ,84,17.5,1.0,0.1,210
コウイカ,66,14.9,0.3,0.1,280
スルメイカ,83,17.9,0.8,0.1,210
ホタルイカ,84,11.8,3.5,0.2,270
ヤリイカ,85,17.6,1.0,0.4,170
スルメ,334,69.2,4.3,0.4,890
サキイカ,279,45.5,3.1,17.3,2700
塩辛,117,15.2,3.4,6.5,2700
イイダコ,70,14.6,0.8,0.1,250
マダコ,76,16.4,0.7,0.1,280
あみ,233,19.1,1.8,35.1,2700
うに,120,16.0,4.8,3.3,220
オキアミ,94,15.0,3.2,0.2,420
クラゲ,22,5.2,0.1,Tr,110
シャコ,98,19.2,1.7,0.2,310
ナマコ,23,4.6,0.3,0.5,680
コノワタ,64,11.4,1.8,0.5,1800
ホヤ,30,5.0,0.8,0.8,1300
カニカマ,90,12.1,0.5,9.2,850
かまぼこ,95,12.0,0.9,9.7,1000
竹輪,121,12.2,2.0,13.5,830
ツミレ,113,12.0,4.3,6.5,570
ナルト,80,7.6,0.4,11.6,800
ハンペン,94,9.9,1.0,11.4,590
さつま揚げ,139,12.5,3.7,13.9,730
魚肉ハム,158,13.4,6.7,11.1,900
魚肉ソーセージ,161,11.5,7.2,12.6,810
イノシシ,268,18.8,19.8,0.5,45
イノブタ,304,18.1,24.1,0.3,50
うさぎ,146,20.5,6.3,Tr,35
牛肩ロース,411,13.8,37.4,0.2,42
牛小間,403,14.0,36.5,0.2,42
牛リブロース,573,9.7,56.5,0.1,39
牛サーロイン,498,11.7,47.5,0.3,32
牛バラ,517,11.0,50.0,0.1,44
牛モモ,259,19.2,18.7,0.5,45
牛ランプ,347,15.1,29.9,0.4,40
牛ヒレ,223,19.1,15.0,0.3,40
牛ミンチ,272,17.1,21.1,0.3,64
牛タン,356,13.3,31.8,0.2,60
牛ハツ,142,16.5,7.6,0.1,70
牛レバー,132,19.6,3.7,3.7,55
牛マメ,131,16.7,6.4,0.2,80
牛ミノ,182,24.5,8.4,0,51
牛ハチノス,200,12.4,15.7,0,39
牛センマイ,62,11.7,1.3,0,50
牛ギアラ,329,11.1,30.0,0,38
牛ヒモ,287,9.9,26.1,0,77
牛シマチョウ,162,9.3,13.0,0,61
牛テッポウ,115,11.6,7.0,0,87
牛コブクロ,106,18.4,3.0,0,79
牛ハラミ,301,14.9,25.2,0.3,47
ローストビーフ,196,21.7,11.7,0.9,310
コンビーフ,203,19.8,13.0,1.7,690
ビーフジャーキー,315,54.8,7.8,6.4,1900
スモークタン,283,18.1,23.0,0.9,630
馬肉,110,20.1,2.5,0.3,50
鯨肉,106,24.1,0.4,0.2,62
鹿肉,110,22.3,1.5,0.5,58
豚小間,216,18.5,14.6,0.2,53
豚肩ロース,253,17.1,19.2,0.1,54
豚ロース,263,19.3,19.2,0.2,42
豚バラ,395,14.4,35.4,0.1,50
豚モモ,183,20.5,10.2,0.2,47
豚ヒレ,130,22.2,3.7,0.3,56
豚ミンチ,236,17.7,17.2,0.1,57
豚タン,221,15.9,16.3,0.1,80
豚ハツ,135,16.2,7.0,0.1,80
豚レバー,128,20.4,3.4,2.5,55
豚ガツ,121,17.4,5.1,0,100
豚ホルモン,179,11.7,13.8,0,21
豚コブクロ,70,14.6,0.9,0,130
豚足,230,20.1,16.8,Tr,110
ボンレスハム,118,18.7,4.0,1.8,1100
ロースハム,196,16.5,13.9,1.3,1000
ショルダーハム,231,16.1,18.2,0.6,640
生ハム,247,24.0,16.6,0.5,1100
プレスハム,118,15.4,4.5,3.9,930
チョップドハム,135,11.7,4.2,12.7,1000
ベーコン,405,12.9,39.1,0.3,800
ロースベーコン,211,16.8,14.6,3.2,870
ショルダーベーコン,186,17.2,11.9,2.5,940
ウインナー,321,13.2,28.5,3.0,730
セミドライソーセージ,339,15.4,29.7,2.6,1100
